,training_stats
n_epochs,20.0
training_time,57483.38022704201
acc,0.9446562191161937
val_acc,0.9098740888005301
loss,0.3580716783766997
val_loss,0.8801198344152368
top_2_val_acc,0.9764744864148442
top_3_val_acc,0.9913850231941683
top_4_val_acc,0.9960238568588469
